西元日期,星期,是否放假,備註
20230101,日,2,開國紀念日
20230102,一,2,補假
20230107,六,0,補行上班
20230120,五,2,小年夜
20230121,六,2,農曆除夕
20230122,日,2,春節
20230123,一,2,春節
20230124,二,2,春節
20230125,三,2,補假
20230126,四,2,補假
20230127,五,2,調整放假
20230204,六,0,補行上班
20230218,六,0,補行上班
20230227,一,2,調整放假
20230228,二,2,和平紀念日
20230325,六,0,補行上班
20230403,一,2,調整放假
20230404,二,2,兒童節
20230405,三,2,民族掃墓節
20230617,六,0,補行上班
20230622,四,2,端午節
20230623,五,2,調整放假
20230923,六,0,補行上班
20230929,五,2,中秋節
20231009,一,2,調整放假
20231010,二,2,國慶日
